League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
serie-a,Sassuolo,AS Roma,"['40' Yellow_Away - Zaniolo N.(Podcięcie)', '41' Yellow_Home - Magnanelli F.(Nadmierna ostrość)', '49' Yellow_Away - Fazio F.(Nadmierna ostrość)', '52' Yellow_Away - Jesus J.(Podcięcie)', '86' Yellow_Away - N', '90+5' Yellow_Home - Brignola E.(Nadmierna ostrość)']",37,18.05.2019,20:30,0.0,0.0,0.0,0.0,Draw,5.1,4.3,1.66,4.3,False,False,False,False,False,False,False,False,4.0,1.0,3.0,54%,46%,9.0,17.0,3.0,6.0,93.0,109.0,46.0,55.0,6.0,11.0,,,12.0,13.0,5.0,5.0,2.0,3.0,17.0,24.0,6.0,3.0,10.0,10.0,2.0,4.0,https://www.flashscore.com/match/S8Hfl9aE/#/match-summary/match-summary
premier-league,Newcastle,Everton,"['13' Goal_Away - Calvert-Lewin D.', '45+1' Yellow_Home - Joelinton(Niesportowe zachowanie)', '55' Yellow_Away - Davies T.(Podcięcie)', '56' Goal_Home - Schar F.(Carroll A.)', '64' Goal_Away - Calvert-Lewin D.(Richarlison)', '80' Yellow_Home - Hayden I.(Podcięcie)', '90+3' Yellow_Away - Calvert-Lewin D.(Opóźnianie gry)']",20,28.12.2019,16:00,1.0,2.0,0.0,1.0,Away,3.3,3.35,2.36,2.36,True,False,False,True,False,False,False,False,6.0,4.0,2.0,42%,58%,20.0,22.0,5.0,9.0,99.0,111.0,57.0,48.0,9.0,7.0,6.0,6.0,14.0,15.0,5.0,8.0,3.0,2.0,,,7.0,4.0,13.0,13.0,2.0,2.0,https://www.flashscore.com/match/OWtqAs2R/#/match-summary/match-summary
championship,Coventry,Nottingham,"['34' Yellow_Home - Sheaf B.', '36' Goal_Away - Taylor L.(Johnson B.)', '49' Yellow_Home - McFadzean K.', '55' Yellow_Home - Maatsen I.', '58' Yellow_Away - Taylor L.', '61' Yellow_Home - Hamer G.', '81' Goal_Home - Gyokeres V.(Sheaf B.)', '90+6' Goal_Home - McFadzean K.']",1,08.08.2021,17:30,2.0,1.0,0.0,1.0,Home,2.25,3.13,3.6,2.25,True,False,False,False,False,False,True,False,3.0,1.0,2.0,63%,37%,12.0,10.0,6.0,2.0,110.0,74.0,49.0,40.0,3.0,3.0,3.0,5.0,13.0,19.0,0.0,5.0,2.0,1.0,28.0,33.0,1.0,4.0,16.0,12.0,4.0,1.0,https://www.flashscore.com/match/IyqwpkvB/#/match-summary/match-summary
2-bundesliga,Braunschweig,Sandhausen,"['10' Yellow_Away - Kister T.', '13' Yellow_Away - Contento D.', '24' Yellow_Home - Behrendt B.', '38' Yellow_Home - Klass N.', '44' Yellow_Home - Diakhite O.', '45+1' Yellow_Away - Linsmayer D.', '90+1' Goal_Home - Kroos F.', '90+5' Red_Card_Away - Zhirov A.']",24,07.03.2021,13:30,1.0,0.0,0.0,0.0,Home,2.95,3.2,2.6,2.95,False,False,False,False,False,False,True,False,0.0,0.0,0.0,53%,47%,12.0,11.0,5.0,0.0,104.0,105.0,52.0,42.0,7.0,11.0,,,19.0,13.0,6.0,3.0,1.0,3.0,51.0,20.0,0.0,4.0,12.0,16.0,3.0,3.0,https://www.flashscore.com/match/QJBRZRQH/#/match-summary/match-summary
ligue-1,Dijon,Toulouse,"['12' Yellow_Away - Gradel M.(Niesportowe zachowanie)', '12' Yellow_Home - Balde M.(Niesportowe zachowanie)', '17' Yellow_Away - Koulouris E.(Uderzenie łokciem)', '40' Goal_Home - Mendyl H.(Sammaritano F.)', '41' Goal_Away - Boisgard Q.(Koulouris E.)', '45' Yellow_Home - Mendyl H.(Podcięcie)', '53' Goal_Home - Aguerd N.']",28,07.03.2020,20:00,2.0,1.0,1.0,1.0,Home,1.88,3.73,4.25,1.88,True,False,False,False,False,False,False,False,6.0,3.0,3.0,56%,44%,15.0,6.0,3.0,2.0,140.0,104.0,59.0,24.0,7.0,2.0,5.0,2.0,18.0,16.0,5.0,1.0,2.0,1.0,,,1.0,1.0,14.0,17.0,2.0,2.0,https://www.flashscore.com/match/ANo9Ycvo/#/match-summary/match-summary
bundesliga,1. FC Koeln,VfL Wolfsburg,"['43' Goal_Away - Gerhardt Y.(Wind J.)', '50' Yellow_Away - Nmecha L.(Nadmierna ostrość)', '55' Var_Away', '90+4' Yellow_Away - Białek B.(Niesportowe zachowanie)']",33,07.05.2022,15:30,0.0,1.0,0.0,1.0,Away,1.52,4.7,6.0,6.0,False,False,False,False,False,False,False,False,3.0,5.0,-2.0,56%,44%,17.0,5.0,9.0,3.0,132.0,84.0,95.0,26.0,8.0,2.0,,,13.0,14.0,9.0,2.0,1.0,2.0,39.0,18.0,2.0,9.0,12.0,12.0,0.0,2.0,https://www.flashscore.com/match/fkAdzmh9/#/match-summary/match-summary
serie-a,Cagliari,Empoli,"['21' Yellow_Away - Żurkowski S.(Przytrzymywanie)', '29' Goal_Away - Di Francesco F.(Haas N.)', '69' Goal_Away - Stulac L.', '75' Yellow_Home - Godin D.(Podcięcie)', '90+4' Yellow_Home - Nandez N.(Podcięcie)']",5,22.09.2021,20:45,0.0,2.0,0.0,1.0,Away,2.06,3.71,3.55,3.55,False,False,False,False,False,False,False,False,5.0,4.0,1.0,56%,44%,16.0,17.0,1.0,5.0,88.0,106.0,51.0,46.0,8.0,7.0,7.0,5.0,17.0,15.0,7.0,4.0,1.0,4.0,,,3.0,1.0,15.0,13.0,2.0,1.0,https://www.flashscore.com/match/QZe1MotJ/#/match-summary/match-summary
jupiler-league,Cercle Brugge,St. Truiden,"['18' Yellow_Home - Ueda N.', '33' Yellow_Away - Colombatto S.', '34' Goal_Home - Hoggas K.', '49' Goal_Away - Boli Y.(Goncalves Sousa A.)', '89' Goal_Home - Saadi I.(Biancone G.)', '90+3' Yellow_Away - Sankhon I.']",15,09.11.2019,20:00,2.0,1.0,1.0,0.0,Home,2.5,3.6,2.67,2.5,True,False,False,False,False,True,False,False,8.0,3.0,5.0,53%,47%,16.0,12.0,8.0,4.0,139.0,110.0,72.0,43.0,8.0,8.0,,,8.0,16.0,10.0,7.0,2.0,1.0,23.0,20.0,3.0,6.0,14.0,7.0,1.0,2.0,https://www.flashscore.com/match/j1DExe3I/#/match-summary/match-summary
serie-a,Empoli,Napoli,"['04' Yellow_Home - Bandinelli F.(Nadmierna ostrość)', '22' Yellow_Away - Zanoli A.(Przytrzymywanie)', '44' Goal_Away - Mertens D.(Lozano H.)', '53' Goal_Away - Insigne L.(Anguissa A. Z.)', '73' Yellow_Home - Viti M.(Nadmierna ostrość)', '80' Goal_Home - Henderson L.', '81' Yellow_Home - Stojanovic P.(Niesportowe zachowanie)', '83' Goal_Home - Pinamonti A.', '88' Goal_Home - Pinamonti A.(Bajrami N.)', '89' Yellow_Home - Pinamonti A.(Niesportowe zachowanie)']",34,24.04.2022,15:00,3.0,2.0,0.0,1.0,Home,5.3,4.25,1.63,5.3,True,True,False,False,False,False,False,False,3.0,5.0,-2.0,41%,59%,17.0,16.0,7.0,2.0,90.0,109.0,53.0,57.0,6.0,8.0,4.0,6.0,11.0,15.0,10.0,7.0,1.0,2.0,19.0,14.0,0.0,4.0,14.0,9.0,4.0,1.0,https://www.flashscore.com/match/fusT6vRt/#/match-summary/match-summary
championship,Nottingham,Barnsley,"['35' Yellow_Home - Bong G.', '56' Yellow_Away - Kane H.', '60' Yellow_Away - Helik M.']",27,30.01.2021,16:00,0.0,0.0,0.0,0.0,Draw,2.5,3.2,3.05,3.2,False,False,False,False,False,False,False,False,4.0,3.0,1.0,58%,42%,6.0,12.0,1.0,3.0,26.0,69.0,22.0,42.0,5.0,4.0,0.0,5.0,,,4.0,8.0,4.0,1.0,,,3.0,1.0,10.0,16.0,1.0,2.0,https://www.flashscore.com/match/vN1Yzk6p/#/match-summary/match-summary
