League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
2-bundesliga,Düsseldorf,St. Pauli,"['23' Yellow_Home - Peterson K.', '26' Goal_Home - Klaus F.', '31' Yellow_Away - Kyereh D.', '46' Yellow_Away - Lawrence J.', '49' Goal_Home - Danso K.(Prib E.)', '80' Yellow_Away - Reginiussen T.', '82' Var_Home', '86' Yellow_Away - Paqarada L.', '90+2' Yellow_Home - Piotrowski J.']",30,21.04.2021,18:30,2.0,0.0,1.0,0.0,Home,2.37,3.6,2.97,2.37,False,False,False,False,True,False,False,False,0.0,0.0,0.0,43%,57%,22.0,9.0,10.0,3.0,84.0,143.0,38.0,53.0,12.0,6.0,,,11.0,23.0,6.0,5.0,3.0,4.0,20.0,32.0,3.0,8.0,19.0,8.0,2.0,4.0,https://www.flashscore.com/match/p0QfNixl/#/match-summary/match-summary
super-lig,Kasimpasa,Ankaragucu,"['23' Goal_Away - Parlak I.(Kitsiou S.)', '39' Yellow_Away - Karabulut A.', '41' Yellow_Home - Hafez K.', '45+3' Yellow_Away - Parlak I.', '76' Yellow_Away - Pinto T.', '83' Yellow_Away - Faty R.', '90+3' Yellow_Away - Sadajev Z.']",3,30.08.2019,19:30,0.0,1.0,0.0,1.0,Away,1.77,3.85,4.1,4.1,False,False,False,False,False,False,False,False,2.0,0.0,2.0,63%,37%,27.0,4.0,7.0,2.0,131.0,87.0,125.0,33.0,13.0,2.0,7.0,0.0,25.0,11.0,10.0,1.0,1.0,1.0,,,1.0,7.0,10.0,26.0,1.0,5.0,https://www.flashscore.com/match/hYRAPbk1/#/match-summary/match-summary
jupiler-league,Club Brugge,Royale Union SG,"['41' Yellow_Away - Lazare Amani J.(Faul)', '45+1' Yellow_Away - Van Der Heyden S.(Niesportowe zachowanie)', '45+1' Yellow_Home - Clinton Mata(Niesportowe zachowanie)', '89' Yellow_Away - Puertas C.(Faul)', '90' Yellow_Away - Lapoussin L.(Niesportowe zachowanie)']",24,27.01.2022,20:45,0.0,0.0,0.0,0.0,Draw,2.3,3.75,2.94,3.75,False,False,False,False,False,False,False,False,3.0,5.0,-2.0,64%,36%,10.0,17.0,1.0,6.0,139.0,102.0,52.0,79.0,3.0,6.0,6.0,5.0,,,4.0,9.0,2.0,2.0,,,6.0,1.0,14.0,14.0,1.0,4.0,https://www.flashscore.com/match/dIQKrMcd/#/match-summary/match-summary
ligue-2,Pau FC,Chambly,"['04' Goal_Away - Guezoui M.', '18' Yellow_Home - Scaramozzino A.', '46' Goal_Away - Correa J.(Guezoui M.)', '60' Goal_Home - Zahary Y.(Batisse A.)', '63' Yellow_Home - Kouassi L.X.', '67' Goal_Away - Guezoui M.']",19,08.01.2021,20:00,1.0,3.0,0.0,1.0,Away,2.66,2.8,3.0,3.0,True,True,False,True,False,True,False,False,0.0,0.0,0.0,52%,48%,10.0,13.0,3.0,6.0,100.0,100.0,71.0,53.0,5.0,3.0,2.0,4.0,,,8.0,3.0,2.0,2.0,,,3.0,2.0,12.0,14.0,2.0,0.0,https://www.flashscore.com/match/69oZJn32/#/match-summary/match-summary
fortuna-1-liga,ŁKS Łódź,GKS Jastrzębie,"['08' Yellow_Away - Apolinarski J.', '12' Goal_Home - Penalty Dominguez A.(Penalty )', '12' Yellow_Away - Komor A.', '16' Yellow_Away - Bojdys M.', '23' Red_Card_Away - Żółta kartka / Bojdys M.', '23' Yellow_Home - Marciniak A.', '53' Yellow_Home - Trabka M.', '71' Yellow_Home - Dominguez A.', '85' Penalty_Missed_Away - Rumin D.()', '90+1' Goal_Away - Penalty Rumin D.(Penalty )', '90+1' Yellow_Home - Dąbrowski M.']",29,09.05.2021,15:00,1.0,1.0,1.0,0.0,Draw,1.52,4.4,6.5,4.4,False,False,True,False,False,False,False,True,0.0,0.0,0.0,73%,27%,27.0,7.0,6.0,3.0,117.0,31.0,91.0,21.0,11.0,3.0,10.0,1.0,15.0,14.0,10.0,1.0,1.0,0.0,,,2.0,5.0,15.0,16.0,4.0,4.0,https://www.flashscore.com/match/hpr7GmtD/#/match-summary/match-summary
league-one,Doncaster,Burton,"['33' Penalty_Missed_Away - Ahadme G.()', '36' Goal_Home - Dodoo J.(Knoyle K.)', '61' Yellow_Away - Oshilaja A.', '75' Goal_Home - Martin J.(Griffiths R.)', '79' Yellow_Away - Hamer T.', '85' Yellow_Away - Powell J.']",45,23.04.2022,16:00,2.0,0.0,1.0,0.0,Home,3.1,3.35,2.21,3.1,False,False,False,False,False,False,False,False,0.0,0.0,0.0,46%,54%,6.0,14.0,3.0,2.0,87.0,85.0,40.0,44.0,2.0,5.0,1.0,7.0,15.0,8.0,1.0,12.0,1.0,0.0,28.0,36.0,2.0,1.0,8.0,15.0,0.0,3.0,https://www.flashscore.com/match/8v1GWMJ0/#/match-summary/match-summary
eredivisie,Groningen,Heracles,"['52' Yellow_Home - Dammers W.(Nadmierna ostrość)', '78' Goal_Away - Szoke A.(Azzaoui I.)']",14,23.12.2020,20:00,0.0,1.0,0.0,0.0,Away,2.08,3.38,3.85,3.85,False,False,False,False,False,False,False,False,2.0,1.0,1.0,57%,43%,13.0,8.0,5.0,2.0,131.0,98.0,49.0,32.0,6.0,4.0,2.0,2.0,10.0,15.0,5.0,1.0,1.0,0.0,,,2.0,5.0,15.0,10.0,1.0,0.0,https://www.flashscore.com/match/KCFryrSO/#/match-summary/match-summary
premier-league,Aston Villa,Burnley,"['23' Yellow_Away - Barnes A.(Niesportowe zachowanie)', '26' Var_Home', '33' Goal_Home - El-Ghazi A.(Guilbert F.)', '44' Yellow_Away - Tarkowski J.(Uderzenie łokciem)', '68' Goal_Away - Rodriguez J.(Pieters E.)', '77' Yellow_Away - Westwood A.(Podcięcie)', '79' Goal_Home - McGinn J.(Trezeguet)', '81' Goal_Away - Wood Ch.(Lowton M.)', '86' Yellow_Home - Trezeguet(Niesportowe zachowanie)', '90+7' Yellow_Away - Rodriguez J.(Podcięcie)']",7,28.09.2019,16:00,2.0,2.0,1.0,0.0,Draw,2.3,3.4,3.35,3.4,True,True,False,False,False,False,False,False,2.0,1.0,1.0,61%,39%,16.0,10.0,3.0,3.0,102.0,86.0,51.0,29.0,7.0,4.0,6.0,3.0,16.0,12.0,7.0,3.0,2.0,0.0,,,1.0,1.0,10.0,16.0,1.0,4.0,https://www.flashscore.com/match/x02kHUYD/#/match-summary/match-summary
championship,Watford,Brentford,"['58' Red_Card_Away - Pinnock E.', '60' Goal_Home - Penalty Deeney T.(Penalty )', '63' Goal_Away - Penalty Toney I.(Penalty )', '76' Yellow_Home - Kabasele C.', '87' Yellow_Home - Deeney T.', '90+1' Yellow_Home - Troost-Ekong W.', '90+3' Yellow_Home - Sarr I.']",19,15.12.2020,21:00,1.0,1.0,0.0,0.0,Draw,2.7,3.0,2.96,3.0,False,False,False,False,False,False,False,False,3.0,3.0,0.0,45%,55%,14.0,12.0,3.0,2.0,93.0,123.0,57.0,39.0,8.0,7.0,3.0,3.0,,,2.0,0.0,3.0,0.0,,,1.0,2.0,18.0,12.0,4.0,0.0,https://www.flashscore.com/match/KIjXfeuQ/#/match-summary/match-summary
league-two,Harrogate,Sutton,"['08' Goal_Away - Eastmond C.', '63' Yellow_Away - Kizzi J.', '78' Goal_Away - Olaofe I.(Bugiel O.)']",46,07.05.2022,16:00,0.0,2.0,0.0,1.0,Away,3.55,3.65,1.94,1.94,False,False,False,True,False,False,False,False,0.0,0.0,0.0,71%,29%,23.0,17.0,5.0,8.0,133.0,84.0,54.0,33.0,5.0,6.0,13.0,3.0,6.0,7.0,11.0,7.0,0.0,0.0,25.0,16.0,6.0,5.0,7.0,8.0,0.0,1.0,https://www.flashscore.com/match/2L04jqQO/#/match-summary/match-summary
2-bundesliga,Kiel,Wurzburger Kickers,"['60' Goal_Home - Penalty Muhling A.(Penalty )', '63' Yellow_Home - Bartels F.', '65' Yellow_Home - Dehm J.']",21,12.02.2021,18:30,1.0,0.0,0.0,0.0,Home,1.68,4.07,5.1,1.68,False,False,False,False,False,False,False,False,0.0,0.0,0.0,66%,34%,16.0,8.0,7.0,1.0,154.0,88.0,57.0,30.0,9.0,7.0,,,16.0,8.0,3.0,2.0,1.0,1.0,27.0,16.0,1.0,6.0,6.0,15.0,2.0,0.0,https://www.flashscore.com/match/OdpwC3HD/#/match-summary/match-summary
jupiler-league,Oostende,Mouscron,"['41' Goal_Home - Sakala F.', '49' Yellow_Away - Godeau B.', '68' Goal_Away - Perica S.(Osabutey J.)', '74' Goal_Home - Penalty Skulason A.(Penalty )', '90+3' Goal_Away - Perica S.(Ciranni A.)', '90+3' Yellow_Home - Skulason A.']",15,09.11.2019,20:30,2.0,2.0,1.0,0.0,Draw,2.44,3.55,2.79,3.55,True,True,False,False,False,False,False,True,4.0,3.0,1.0,40%,60%,7.0,14.0,5.0,7.0,120.0,173.0,61.0,92.0,2.0,7.0,,,15.0,15.0,3.0,7.0,5.0,1.0,27.0,38.0,5.0,3.0,10.0,15.0,1.0,1.0,https://www.flashscore.com/match/ImF6vHY5/#/match-summary/match-summary
championship,Watford,Barnsley,"['27' Goal_Home - Penalty Deeney T.(Penalty )', '90' Yellow_Away - Sollbauer M.', '90+2' Yellow_Home - Sarr I.']",25,19.01.2021,20:45,1.0,0.0,1.0,0.0,Home,1.85,3.5,4.65,1.85,False,False,False,False,False,False,False,False,6.0,5.0,1.0,56%,44%,9.0,11.0,3.0,0.0,102.0,133.0,58.0,73.0,5.0,5.0,1.0,6.0,,,5.0,3.0,6.0,0.0,,,0.0,2.0,13.0,11.0,1.0,1.0,https://www.flashscore.com/match/pOd81FFO/#/match-summary/match-summary
league-two,Tranmere,Cambridge Utd,"['11' Goal_Home - Lewis P.(Lloyd-Mcdrick D.)', '60' Goal_Away - Mullin P.', '60' Penalty_Missed_Away - Mullin P.()', '60' Yellow_Home - Clarke P.', '80' Yellow_Home - Lewis P.']",40,05.04.2021,16:00,1.0,1.0,1.0,0.0,Draw,2.45,2.95,2.94,2.95,False,False,True,False,False,False,False,False,0.0,0.0,0.0,58%,42%,11.0,7.0,3.0,5.0,119.0,101.0,65.0,44.0,6.0,2.0,2.0,0.0,9.0,13.0,7.0,2.0,2.0,0.0,45.0,25.0,4.0,2.0,12.0,9.0,2.0,0.0,https://www.flashscore.com/match/pO6Y9iRm/#/match-summary/match-summary
league-two,Sutton,Port Vale,"['21' Goal_Away - Smith N.(Proctor J.)', '28' Goal_Away - Proctor J.(Gibbons J.)', '36' Goal_Home - Milsom R.(Eastmond C.)', '42' Yellow_Away - Smith N.', '47' Yellow_Away - Gibbons J.', '67' Yellow_Away - Worrall D.', '69' Own_Home - Garrity B.()', '78' Goal_Away - Conlon T.', '81' Yellow_Away - Jones D.', '87' Goal_Home - Randall W.(Kizzi J.)', '90' Yellow_Away - Lloyd G.', '90+1' Goal_Home - Rowe C.(Bennett R.)', '90+8' Yellow_Home - Bouzanis D.']",11,09.10.2021,16:00,4.0,3.0,1.0,2.0,Home,2.5,3.0,2.85,2.5,True,True,False,False,False,False,True,False,0.0,0.0,0.0,49%,51%,13.0,11.0,6.0,7.0,96.0,84.0,40.0,41.0,2.0,2.0,5.0,2.0,12.0,11.0,4.0,7.0,0.0,2.0,30.0,27.0,4.0,2.0,12.0,10.0,1.0,5.0,https://www.flashscore.com/match/8MPrH8Nj/#/match-summary/match-summary
ligue-1,Metz,Lille,"['23' Goal_Away - Botman S.(Yazici Y.)', '31' Goal_Home - Centonze F.(Delaine T.)', '41' Goal_Home - Udol M.(Niane I.)', '52' Goal_Home - Centonze F.', '56' Red_Card_Home - Kouyate K.(Podcięcie)', '56' Yellow_Home - Bronn D.(Niesportowe zachowanie)', '59' Var_Away', '79' Yellow_Away - Ikone J.(Podcięcie)', '81' Goal_Away - Ikone J.(Lihadji I.)', '83' Yellow_Away - Yilmaz B.(Niesportowe zachowanie)', '90+6' Own_Away - Oukidja A.()']",1,08.08.2021,17:00,3.0,3.0,2.0,1.0,Draw,4.6,3.35,1.96,3.35,True,True,False,False,False,False,False,False,4.0,2.0,2.0,38%,62%,12.0,18.0,5.0,7.0,101.0,123.0,34.0,44.0,3.0,7.0,4.0,4.0,14.0,12.0,4.0,5.0,0.0,2.0,22.0,28.0,4.0,2.0,9.0,10.0,1.0,2.0,https://www.flashscore.com/match/EaxuxyQK/#/match-summary/match-summary
fortuna-1-liga,Stomil Olsztyn,GKS Tychy,"['15' Yellow_Home - Bucholc J.', '33' Yellow_Away - Kristo D.', '42' Goal_Home - Teclaw J.', '52' Red_Card_Away - Żółta kartka / Kristo D.', '84' Goal_Home - Sobczak S.', '88' Yellow_Home - Carolina J.', '89' Goal_Away - Grzeszczyk L.']",33,18.07.2020,12:40,2.0,1.0,1.0,0.0,Home,2.62,3.6,2.66,2.62,True,False,False,False,False,False,False,False,0.0,0.0,0.0,47%,53%,22.0,9.0,11.0,3.0,98.0,101.0,67.0,56.0,11.0,6.0,0.0,0.0,14.0,17.0,9.0,5.0,4.0,2.0,,,2.0,9.0,13.0,11.0,2.0,2.0,https://www.flashscore.com/match/xzuU63c6/#/match-summary/match-summary
laliga2,Tenerife,R. Oviedo,"['07' Goal_Away - Sanchez B.', '10' Var_Home', '28' Yellow_Home - Sanz A.', '40' Yellow_Away - Arribas A.', '51' Goal_Home - Penalty Sol F.(Penalty )', '54' Yellow_Away - Sangalli M.', '77' Goal_Home - Penalty Suso(Penalty )', '81' Yellow_Home - Nono', '89' Yellow_Home - Moore S.', '90+2' Red_Card_Away - Żółta kartka / Sangalli M.(Poza boiskiem)', '90+3' Goal_Away - Blanco G.(Viti)']",42,29.05.2021,18:30,2.0,2.0,0.0,1.0,Draw,2.02,3.25,3.85,3.25,True,True,False,True,False,False,False,True,0.0,0.0,0.0,51%,49%,17.0,12.0,6.0,7.0,65.0,66.0,49.0,50.0,5.0,4.0,6.0,1.0,,,3.0,6.0,2.0,0.0,,,5.0,4.0,19.0,10.0,3.0,3.0,https://www.flashscore.com/match/pKMkxls6/#/match-summary/match-summary
eredivisie,Heerenveen,Sparta Rotterdam,"['26' Goal_Away - Veldwijk L.(Harroui A.)', '73' Goal_Home - Ejuke C.(Halilovic A.)', '77' Yellow_Away - Auassar A.(Nadmierna ostrość)', '79' Goal_Home - Ejuke C.(Botman S.)']",13,09.11.2019,18:30,2.0,1.0,0.0,1.0,Home,2.06,3.65,3.5,2.06,True,False,False,False,False,False,False,False,1.0,2.0,-1.0,67%,33%,17.0,13.0,4.0,3.0,154.0,105.0,73.0,39.0,12.0,3.0,1.0,7.0,15.0,7.0,6.0,6.0,1.0,1.0,,,2.0,2.0,6.0,14.0,0.0,1.0,https://www.flashscore.com/match/Q3LEtRpK/#/match-summary/match-summary
championship,Cardiff,Huddersfield,"['12' Goal_Away - Sinani D.', '60' Yellow_Home - McGuinness M.', '74' Goal_Home - Moore K.(Ralls J.)', '84' Yellow_Home - Bacuna L.', '90+1' Yellow_Home - Vaulks W.', '90+2' Goal_Home - Moore K.(Davies I.)', '90+3' Yellow_Away - High S.', '90+4' Yellow_Home - Ng P.']",17,06.11.2021,16:00,2.0,1.0,0.0,1.0,Home,2.27,3.2,3.5,2.27,True,False,False,True,False,False,True,False,5.0,6.0,-1.0,56%,44%,15.0,13.0,5.0,2.0,139.0,77.0,56.0,21.0,6.0,4.0,4.0,7.0,4.0,18.0,5.0,3.0,3.0,1.0,29.0,14.0,1.0,3.0,15.0,3.0,4.0,1.0,https://www.flashscore.com/match/GnsNV4N7/#/match-summary/match-summary
serie-b,Monza,Ascoli,"['14' Yellow_Away - Falasco N.', '16' Goal_Home - Valoti M.', '19' Yellow_Home - Antov V.', '28' Goal_Home - Penalty Gytkjaer C.(Penalty )', '57' Yellow_Home - Donati G.', '78' Yellow_Home - Valoti M.']",33,06.04.2022,19:00,2.0,0.0,2.0,0.0,Home,1.67,3.85,4.9,1.67,False,False,False,False,False,False,False,False,0.0,0.0,0.0,47%,53%,9.0,12.0,4.0,3.0,97.0,109.0,29.0,30.0,2.0,6.0,3.0,3.0,,,5.0,4.0,2.0,2.0,,,3.0,2.0,20.0,18.0,3.0,1.0,https://www.flashscore.com/match/SvbRkNcd/#/match-summary/match-summary
ligue-1,Bordeaux,Rennes,"['17' Yellow_Away - Martin J.(Podcięcie)', '36' Yellow_Away - Omari W.(Nadmierna ostrość)', '56' Goal_Away - Laborde G.(Traore H.)', '80' Yellow_Away - Meling B.(Uderzenie łokciem)', '80' Yellow_Away - Santamaria B.(Faul)', '88' Goal_Home - Mexer(Hwang Ui-Jo)', '90+3' Yellow_Home - Fransergio(Przytrzymywanie)']",8,26.09.2021,13:00,1.0,1.0,0.0,0.0,Draw,3.95,3.47,2.06,3.47,False,False,False,False,False,False,False,False,5.0,3.0,2.0,46%,54%,10.0,18.0,3.0,8.0,108.0,90.0,35.0,42.0,5.0,8.0,2.0,2.0,22.0,8.0,8.0,6.0,3.0,2.0,17.0,16.0,7.0,2.0,6.0,20.0,1.0,4.0,https://www.flashscore.com/match/YD8WHtRK/#/match-summary/match-summary
fortuna-1-liga,Korona Kielce,GKS Jastrzębie,"['03' Goal_Home - Frączczak A.', '15' Goal_Away - Kaminski D.', '45+1' Goal_Home - Łukowski J.', '56' Yellow_Home - Frączczak A.', '57' Yellow_Away - Kuczałek M.']",3,14.08.2021,12:40,2.0,1.0,2.0,1.0,Home,1.82,3.45,5.0,1.82,True,False,True,True,True,False,False,False,0.0,0.0,0.0,46%,54%,12.0,14.0,4.0,5.0,75.0,78.0,42.0,59.0,5.0,4.0,3.0,5.0,16.0,14.0,2.0,6.0,0.0,1.0,,,4.0,2.0,14.0,15.0,1.0,1.0,https://www.flashscore.com/match/pSfyqYkA/#/match-summary/match-summary
premier-league,Sheffield Utd,Brighton,"['10' Yellow_Away - Bissouma Y.(Nadmierna ostrość)', '23' Yellow_Away - Propper D.(Przytrzymywanie)', '26' Goal_Home - Stevens E.', '30' Goal_Away - Maupay N.(Webster A.)']",27,22.02.2020,16:00,1.0,1.0,1.0,1.0,Draw,1.95,3.45,4.5,3.45,False,False,False,False,False,False,False,False,0.0,2.0,-2.0,66%,34%,13.0,9.0,3.0,2.0,163.0,79.0,117.0,27.0,5.0,4.0,5.0,3.0,8.0,6.0,12.0,2.0,3.0,2.0,,,1.0,2.0,5.0,6.0,0.0,2.0,https://www.flashscore.com/match/IeXFTSbH/#/match-summary/match-summary
bundesliga,VfL Wolfsburg,FC Augsburg,"['21' Goal_Home - Weghorst W.', '29' Yellow_Away - Hahn A.(Nadmierna ostrość)', '37' Goal_Home - Weghorst W.(Mehmedi A.)', '41' Goal_Home - Knoche R.(Arnold M.)', '55' Goal_Home - Weghorst W.(Rexhbecaj E.)', '57' Goal_Home - Ginczek D.', '60' Goal_Home - Rexhbecaj E.(Roussillon J.)', '64' Yellow_Away - Asta S.(Podcięcie)', '81' Goal_Away - Schieber J.(Richter M.)', '85' Goal_Home - Brekalo J.(Weghorst W.)', '89' Own_Home - Danso K.()']",34,18.05.2019,15:30,8.0,1.0,3.0,0.0,Home,1.38,5.7,7.6,1.38,True,True,False,False,False,False,False,False,8.0,7.0,1.0,55%,45%,18.0,12.0,10.0,4.0,107.0,92.0,45.0,39.0,5.0,7.0,3.0,1.0,14.0,11.0,6.0,5.0,3.0,2.0,,,3.0,2.0,5.0,11.0,0.0,2.0,https://www.flashscore.com/match/IeVZhNhK/#/match-summary/match-summary
laliga,Barcelona,Valladolid,"['28' Yellow_Home - Griezmann A.(Nadmierna ostrość)', '40' Yellow_Away - Gonzalez B.(Przytrzymywanie)', '43' Yellow_Home - PrzytrzymywanieMingueza O.(Przytrzymywanie)', '73' Yellow_Away - Guardiola S.(Nadmierna ostrość)', '79' Red_Card_Away - Plano O.(Podcięcie)', '80' Yellow_Away - Masip J.(Niesportowe zachowanie)', '84' Yellow_Home - Braithwaite M.(Podcięcie)', '90' Goal_Home - Dembele O.(Araujo R.)', '90+4' Yellow_Away - Sergio(Poza boiskiem)']",29,05.04.2021,21:00,1.0,0.0,0.0,0.0,Home,1.15,10.0,14.0,1.15,False,False,False,False,False,False,True,False,4.0,9.0,-5.0,68%,32%,25.0,7.0,10.0,2.0,151.0,72.0,99.0,40.0,8.0,5.0,7.0,0.0,20.0,16.0,4.0,1.0,1.0,2.0,19.0,12.0,2.0,9.0,12.0,13.0,3.0,3.0,https://www.flashscore.com/match/viLP5sA4/#/match-summary/match-summary
league-one,Lincoln,Fleetwood,"['32' Yellow_Away - Andrew D.', '43' Goal_Away - Garner G.(Connolly C.)', '53' Goal_Away - Camps C.(Batty D.)', '71' Goal_Home - Morton C.(Palmer A.)']",33,02.03.2021,20:00,1.0,2.0,0.0,1.0,Away,2.05,3.2,3.5,3.5,True,False,False,False,False,False,False,False,0.0,0.0,0.0,50%,50%,9.0,14.0,3.0,6.0,78.0,126.0,52.0,51.0,5.0,6.0,1.0,2.0,,,6.0,3.0,0.0,0.0,,,4.0,2.0,11.0,14.0,0.0,1.0,https://www.flashscore.com/match/GjZLNnKD/#/match-summary/match-summary
fortuna-1-liga,GKS Katowice,Arka Gdynia,"['27' Goal_Home - Figiel R.', '33' Goal_Away - Kobacki O.', '53' Goal_Home - Szwedzik P.', '63' Goal_Away - Marcjanik M.', '82' Yellow_Away - Dobrotka M.', '84' Yellow_Home - Jaroszek B.', '86' Goal_Away - Kobacki O.', '90+3' Goal_Away - Marcus']",7,16.09.2021,18:00,2.0,4.0,1.0,1.0,Away,3.45,3.4,2.2,2.2,True,True,False,False,False,False,False,True,0.0,0.0,0.0,45%,55%,11.0,23.0,2.0,8.0,83.0,92.0,43.0,77.0,6.0,4.0,3.0,11.0,12.0,9.0,1.0,8.0,0.0,2.0,,,4.0,0.0,9.0,10.0,1.0,1.0,https://www.flashscore.com/match/86Zcllqm/#/match-summary/match-summary
league-two,Harrogate,Exeter,"['23' Yellow_Away - Kite H.', '42' Red_Card_Away - Żółta kartka / Kite H.', '43' Goal_Home - Penalty Muldoon J.(Penalty )', '61' Yellow_Home - Page L.', '79' Goal_Away - Key J.']",5,28.08.2021,16:00,1.0,1.0,1.0,0.0,Draw,2.03,3.2,3.65,3.2,False,False,False,False,False,False,False,False,0.0,0.0,0.0,55%,45%,16.0,13.0,4.0,3.0,123.0,112.0,46.0,58.0,3.0,6.0,9.0,4.0,6.0,11.0,7.0,6.0,1.0,1.0,26.0,32.0,2.0,3.0,11.0,6.0,1.0,2.0,https://www.flashscore.com/match/0IVxO1Ip/#/match-summary/match-summary
jupiler-league,Oostende,St. Liege,"['08' Goal_Home - Sakala F.(Bataille J.)', '47' Goal_Away - Balikwisha M.', '64' Goal_Home - Sakala F.', '88' Yellow_Home - Hubert G.', '89' Yellow_Home - Hjulsager A.', '90+4' Goal_Away - Bokadi M.(Siquet H.)']",22,28.01.2021,21:00,2.0,2.0,1.0,0.0,Draw,2.71,3.5,2.6,3.5,True,True,True,False,False,True,False,True,4.0,3.0,1.0,34%,66%,9.0,21.0,3.0,5.0,117.0,170.0,48.0,94.0,6.0,10.0,0.0,6.0,,,8.0,12.0,0.0,0.0,,,3.0,1.0,15.0,5.0,2.0,0.0,https://www.flashscore.com/match/tIYP3U8r/#/match-summary/match-summary
premier-league,Brighton,Chelsea,"['28' Goal_Away - Ziyech H.(Kante N.)', '59' Yellow_Away - Alonso M.(Przytrzymywanie)', '60' Goal_Home - Webster A.(Mac Allister A.)', '80' Yellow_Home - Burn D.(Nadmierna ostrość)', '81' Yellow_Away - Rudiger A.(Niesportowe zachowanie)']",24,18.01.2022,21:00,1.0,1.0,0.0,1.0,Draw,6.1,4.0,1.62,4.0,False,False,False,False,False,False,False,False,7.0,4.0,3.0,43%,57%,10.0,15.0,2.0,3.0,99.0,104.0,63.0,65.0,3.0,5.0,5.0,7.0,6.0,9.0,5.0,7.0,1.0,0.0,25.0,21.0,2.0,1.0,8.0,5.0,1.0,2.0,https://www.flashscore.com/match/Eqbz6RRm/#/match-summary/match-summary
serie-a,Bologna,Spezia,"['11' Goal_Away - Manaj R.(Reca A.)', '19' Yellow_Home - Binks L.(Nadmierna ostrość)', '22' Yellow_Away - Manaj R.(Nadmierna ostrość)', '40' Goal_Home - Arnautovic M.(Barrow M.)', '84' Goal_Home - Arnautovic M.(Sansone N.)']",26,21.02.2022,21:00,2.0,1.0,1.0,1.0,Home,1.9,3.55,4.55,1.9,True,False,False,True,False,False,False,False,5.0,3.0,2.0,61%,39%,19.0,6.0,7.0,2.0,153.0,69.0,58.0,22.0,7.0,3.0,5.0,1.0,16.0,11.0,11.0,0.0,4.0,3.0,24.0,19.0,1.0,5.0,7.0,13.0,1.0,1.0,https://www.flashscore.com/match/O04FHtN8/#/match-summary/match-summary
laliga2,Girona,R. Oviedo,"['09' Goal_Home - Baena A.', '13' Yellow_Away - Calvo D.', '33' Yellow_Home - Garcia B.', '41' Yellow_Home - Stuani C.', '71' Goal_Home - Stuani C.(Baena A.)', '73' Goal_Away - Sanchez B.(Montiel J.)', '90+2' Yellow_Away - Mossa']",30,06.03.2022,21:00,2.0,1.0,1.0,0.0,Home,2.0,3.15,4.3,2.0,True,False,True,False,False,False,False,False,0.0,0.0,0.0,52%,48%,11.0,13.0,5.0,5.0,87.0,110.0,23.0,51.0,4.0,5.0,2.0,3.0,23.0,12.0,4.0,4.0,1.0,0.0,18.0,26.0,4.0,3.0,11.0,23.0,2.0,2.0,https://www.flashscore.com/match/jiULddic/#/match-summary/match-summary
jupiler-league,Antwerp,Waregem,"['36' Goal_Away - Bruno G.(Vossen J.)', '49' Yellow_Away - Marcq D.', '58' Yellow_Away - De Bock L.', '71' Yellow_Home - De Sart A.', '72' Yellow_Away - Opare D.', '85' Yellow_Home - Ampomah O.']",18,16.12.2020,18:45,0.0,1.0,0.0,1.0,Away,1.51,4.65,6.2,6.2,False,False,False,False,False,False,False,False,6.0,4.0,2.0,52%,48%,11.0,17.0,2.0,5.0,109.0,119.0,58.0,71.0,5.0,7.0,4.0,5.0,,,2.0,4.0,4.0,1.0,,,4.0,2.0,11.0,11.0,2.0,3.0,https://www.flashscore.com/match/OfFFDjKG/#/match-summary/match-summary
league-two,Cheltenham,Oldham,"['54' Goal_Home - Williams A.(Boyle W.)', '62' Yellow_Home - May A.', '83' Goal_Home - May A.(Thomas C.)']",26,26.01.2021,20:00,2.0,0.0,0.0,0.0,Home,1.85,3.4,3.95,1.85,False,False,False,False,False,False,False,False,0.0,0.0,0.0,43%,57%,21.0,13.0,9.0,6.0,100.0,104.0,59.0,21.0,8.0,6.0,4.0,1.0,,,9.0,3.0,0.0,0.0,,,6.0,7.0,9.0,4.0,1.0,0.0,https://www.flashscore.com/match/2Hr4blyd/#/match-summary/match-summary
